cell,dataset,seed,policy,score,lambda_ref,stratum,stratum_rule,n_k,alpha,gamma,min_threshold_risk,argmin_lambda,n_argmin_thresholds,cost_at_argmin,full_feature_risk,threshold_curve_monotone,n_local_minima,gap_min_minus_alpha,family_p_value,threshold_verdict,min_depth_risk,argmin_depth,risk_at_T,cost_at_argmin_depth,depth_monotonicity_violations,depth_p_value,depth_verdict,is_primary
tabular-MiniBooNE/greedy_entropy/ts2,tabular-MiniBooNE,2,greedy_entropy,softmax,0.7,1,deepest precommitted nonempty,46823,0.15,0.05,0.0890160818401213,1.0,1,340.48670200971713,0.0890160818401213,True,2,-0.06098391815987869,1.0,feasible,0.0890160818401213,50,0.0890160818401213,341.7321950600408,5,1.0,feasible,False
tabular-MiniBooNE/greedy_entropy/ts2,tabular-MiniBooNE,2,greedy_entropy,softmax,0.9,4,deepest precommitted nonempty,9486,0.15,0.05,0.24847143158338605,0.9090909090909092,1,282.27389085982014,0.24899852414083914,False,4,0.09847143158338606,7.94628417465382e-138,family-wide failure certified,0.24678473539953616,45,0.24899852414083914,311.85158401756337,11,1.7250016239596908e-133,family-wide failure certified,False
tabular-MiniBooNE/random/ts2,tabular-MiniBooNE,2,random,softmax,0.5,1,deepest precommitted nonempty,46823,0.15,0.05,0.0890160818401213,1.0,1,340.6199214168263,0.0890160818401213,True,2,-0.06098391815987869,1.0,feasible,0.0890160818401213,50,0.0890160818401213,341.7321950600408,0,1.0,feasible,False
tabular-MiniBooNE/random/ts2,tabular-MiniBooNE,2,random,softmax,0.7,1,deepest precommitted nonempty,46823,0.15,0.05,0.0890160818401213,1.0,1,340.6199214168263,0.0890160818401213,True,2,-0.06098391815987869,1.0,feasible,0.0890160818401213,50,0.0890160818401213,341.7321950600408,0,1.0,feasible,False
tabular-MiniBooNE/random/ts2,tabular-MiniBooNE,2,random,softmax,0.9,4,deepest precommitted nonempty,9432,0.15,0.05,0.23536895674300254,0.9191919191919192,1,331.6457479950917,0.23558100084817643,False,4,0.08536895674300254,3.2251513504454566e-105,family-wide failure certified,0.23558100084817643,50,0.23558100084817643,341.7321950600408,1,1.0567464752158372e-105,family-wide failure certified,False
tabular-adult/eps_greedy_eps0.25/ts0,tabular-adult,0,eps_greedy_eps0.25,softmax,0.5,1,deepest precommitted nonempty,16280,0.2,0.05,0.1507985257985258,1.0,1,95.08573314045547,0.1507985257985258,True,3,-0.04920147420147422,1.0,feasible,0.1507985257985258,14,0.1507985257985258,95.2779627559329,1,1.0,feasible,False
tabular-adult/eps_greedy_eps0.25/ts0,tabular-adult,0,eps_greedy_eps0.25,softmax,0.7,1,deepest precommitted nonempty,16280,0.2,0.05,0.1507985257985258,1.0,1,95.08573314045547,0.1507985257985258,True,3,-0.04920147420147422,1.0,feasible,0.1507985257985258,14,0.1507985257985258,95.2779627559329,1,1.0,feasible,False
tabular-adult/eps_greedy_eps0.25/ts0,tabular-adult,0,eps_greedy_eps0.25,softmax,0.9,3,deepest precommitted nonempty,6261,0.2,0.05,0.30825746685832933,0.8484848484848485,1,89.04201814307969,0.3084171857530746,False,5,0.10825746685832932,1.8310261821850253e-91,family-wide failure certified,0.3084171857530746,14,0.3084171857530746,95.27796275593289,1,1.0257174342577594e-91,family-wide failure certified,False
tabular-adult/eps_greedy_eps0.5/ts0,tabular-adult,0,eps_greedy_eps0.5,softmax,0.5,1,deepest precommitted nonempty,16280,0.2,0.05,0.1507985257985258,1.0,1,95.10733007299591,0.1507985257985258,True,3,-0.04920147420147422,1.0,feasible,0.1507985257985258,14,0.1507985257985258,95.2779627559329,1,1.0,feasible,False
tabular-adult/eps_greedy_eps0.5/ts0,tabular-adult,0,eps_greedy_eps0.5,softmax,0.7,1,deepest precommitted nonempty,16280,0.2,0.05,0.1507985257985258,1.0,1,95.10733007299591,0.1507985257985258,True,3,-0.04920147420147422,1.0,feasible,0.1507985257985258,14,0.1507985257985258,95.2779627559329,1,1.0,feasible,False
