dataset,policy,lambda_ref,stratum,eval_n,marg_risk_mean,marg_risk_sd,mond_cert_rate,mond_abstain_rate,jointmond_cert_rate,jointmond_abstain_rate,R_full,R_full_lcb95,R_full_ucb95,verdict
tabular-MiniBooNE,eps_greedy_eps0.5,0.7,1,46823,0.14184018,0.0019296989370365515,1.0,0.0,1.0,0.0,0.083399,0.081306,0.085531,feasible
tabular-MiniBooNE,eps_greedy_eps0.5,0.9,0,8313,0.04630858999999999,0.002446437749443055,1.0,0.0,1.0,0.0,0.02887,0.025913,0.032077,feasible
tabular-MiniBooNE,eps_greedy_eps0.5,0.9,1,8124,0.05208488,0.0026777108741609878,1.0,0.0,1.0,0.0,0.03385,0.030613,0.037339,feasible
tabular-MiniBooNE,eps_greedy_eps0.5,0.9,2,10523,0.08761305,0.0030582625504524627,1.0,0.0,1.0,0.0,0.050366,0.046904,0.054013,feasible
tabular-MiniBooNE,eps_greedy_eps0.5,0.9,3,10731,0.13874876000000003,0.003706707757889742,1.0,0.0,1.0,0.0,0.068027,0.06407,0.072159,feasible
tabular-MiniBooNE,eps_greedy_eps0.5,0.9,4,9132,0.37474451000000003,0.005758146032352772,0.0,1.0,0.0,1.0,0.233246,0.225975,0.240642,infeasible
tabular-MiniBooNE,greedy_entropy,0.5,1,46823,0.13271973,0.001762258759972553,1.0,0.0,1.0,0.0,0.083399,0.081306,0.085531,feasible
tabular-MiniBooNE,greedy_entropy,0.7,1,46823,0.13271973,0.001762258759972553,1.0,0.0,1.0,0.0,0.083399,0.081306,0.085531,feasible
tabular-MiniBooNE,greedy_entropy,0.9,0,7345,0.02560284,0.0018963227980488978,1.0,0.0,1.0,0.0,0.016338,0.01398,0.018987,feasible
tabular-MiniBooNE,greedy_entropy,0.9,1,8863,0.04340254999999999,0.0021912327825906585,1.0,0.0,1.0,0.0,0.03272,0.02967,0.036001,feasible
tabular-MiniBooNE,greedy_entropy,0.9,2,9523,0.11456398999999999,0.003328247843821129,1.0,0.0,1.0,0.0,0.054395,0.050621,0.058372,feasible
tabular-MiniBooNE,greedy_entropy,0.9,3,11912,0.10793702999999999,0.0030568193648136937,1.0,0.0,1.0,0.0,0.070013,0.066204,0.073979,feasible
tabular-MiniBooNE,greedy_entropy,0.9,4,9180,0.35592820000000003,0.004538249658183208,0.0,1.0,0.0,1.0,0.233442,0.226189,0.240821,infeasible
tabular-MiniBooNE,greedy_entropy,0.5,1,46823,0.14279183,0.00430176741596986,1.0,0.0,1.0,0.0,0.084766,0.082657,0.086913,feasible
tabular-MiniBooNE,greedy_entropy,0.7,1,46823,0.14279183,0.00430176741596986,1.0,0.0,1.0,0.0,0.084766,0.082657,0.086913,feasible
tabular-MiniBooNE,greedy_entropy,0.9,0,1184,0.018582030000000003,0.004353901435391022,1.0,0.0,1.0,0.0,0.018581,0.012612,0.026427,feasible
