cell,R_pool_s0,R_pool_s1,R_pool_s2,R_pool_s3,R_pool_s4,agg_pool_risk,lambda_idx,lambda_ref,pool_cost,resplit
mnist/eps_greedy_eps0.5/ts0,0.066332,0.057814,0.065449,0.109248,0.337215,0.13607142857142857,80,0.9,22.311666666666667,3
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,4
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,5
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,6
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,7
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,8
mnist/eps_greedy_eps0.5/ts0,0.067797,0.060612,0.073451,0.129612,0.359175,0.1471031746031746,78,0.9,21.052896825396825,9
mnist/eps_greedy_eps0.5/ts0,0.067797,0.060612,0.073451,0.129612,0.359175,0.1471031746031746,78,0.9,21.052896825396825,10
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,11
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,12
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,13
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,14
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,15
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,16
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,17
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,18
mnist/eps_greedy_eps0.5/ts0,0.066332,0.057814,0.065449,0.109248,0.337215,0.13607142857142857,80,0.9,22.311666666666667,19
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,20
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,21
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,22
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,23
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,24
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,25
