dataset,policy,scheme,method,violation_frac,wilson_lo,wilson_hi,abstain_rate,mean_risk,mean_cost,cost_ratio_full
tabular-adult,random,inverse_info,plugin,0.0,0.0,0.03699480747600191,0.0,0.18293241000000002,26.409202299999997,0.27718059316612376
tabular-adult,random,inverse_info,fixed_conf_0.9,0.0,0.0,0.03699480747600191,0.0,0.1570086,51.64311312000001,0.5420257895312057
tabular-adult,random,inverse_info,fixed_conf_0.95,0.0,0.0,0.03699480747600191,0.0,0.15352212999999998,62.735629329999995,0.6584484738616839
tabular-adult,random,inverse_info,fixed_conf_0.99,0.0,0.0,0.03699480747600191,0.0,0.15140301,79.81049166999999,0.8376595086316022
tabular-adult,random,inverse_info,budget_5,0.03,0.010254338223414816,0.08452078080402699,0.0,0.19432674000000003,33.95810772,0.3564109333445762
tabular-adult,random,inverse_info,budget_10,0.0,0.0,0.03699480747600191,0.0,0.16354913000000004,68.03514920999999,0.7140701487289352
tabular-adult,random,inverse_info,budget_20,0.0,0.0,0.03699480747600191,0.0,0.15097054000000001,95.27796300000001,1.0
tabular-adult,random,inverse_info,oracle_cheapest,0.0,0.0,0.03699480747600191,0.0,0.18293241000000002,26.409202299999997,0.27718059316612376
tabular-adult,random,inverse_info,oracle_full,0.0,0.0,0.03699480747600191,0.0,0.15097054000000001,95.27796300000001,1.0
tabular-adult,random,random,cafa_marginal,0.0,0.0,0.03699480747600191,0.0,0.18293241000000002,19.98000611,0.27369871383561645
tabular-adult,random,random,cafa_iut,0.0,0.0,0.03699480747600191,1.0,0.15097054000000001,73.0,1.0
tabular-adult,random,random,plugin,0.0,0.0,0.03699480747600191,0.0,0.18293241000000002,19.98000611,0.27369871383561645
tabular-adult,random,random,fixed_conf_0.9,0.0,0.0,0.03699480747600191,0.0,0.1570086,39.738878389999996,0.5443681971232877
tabular-adult,random,random,fixed_conf_0.95,0.0,0.0,0.03699480747600191,0.0,0.15352212999999998,48.2509558,0.660971997260274
tabular-adult,random,random,fixed_conf_0.99,0.0,0.0,0.03699480747600191,0.0,0.15140301,61.38878009999999,0.8409421931506849
tabular-adult,random,random,budget_5,0.03,0.010254338223414816,0.08452078080402699,0.0,0.19432674000000003,26.06130955,0.3570042404109589
tabular-adult,random,random,budget_10,0.0,0.0,0.03699480747600191,0.0,0.16354913000000004,52.15432182000001,0.7144427646575343
tabular-adult,random,random,budget_20,0.0,0.0,0.03699480747600191,0.0,0.15097054000000001,73.0,1.0
tabular-adult,random,random,oracle_cheapest,0.0,0.0,0.03699480747600191,0.0,0.18293241000000002,19.98000611,0.27369871383561645
tabular-adult,random,random,oracle_full,0.0,0.0,0.03699480747600191,0.0,0.15097054000000001,73.0,1.0
tabular-adult,random,uniform,cafa_marginal,0.0,0.0,0.03699480747600191,0.0,0.20256389,2.79009705,0.19929264642857142
tabular-adult,random,uniform,cafa_iut,0.0,0.0,0.03699480747600191,1.0,0.152887,14.0,1.0
tabular-adult,random,uniform,plugin,0.16,0.10095202349473717,0.24420444558894414,0.0,0.21098526,2.34315234,0.1673680242857143
tabular-adult,random,uniform,fixed_conf_0.9,0.0,0.0,0.03699480747600191,0.0,0.15720760000000003,7.814409079999999,0.5581720771428571
tabular-adult,random,uniform,fixed_conf_0.95,0.0,0.0,0.03699480747600191,0.0,0.15426166,9.65659337,0.6897566692857142
tabular-adult,random,uniform,fixed_conf_0.99,0.0,0.0,0.03699480747600191,0.0,0.15301351,12.087615470000001,0.8634011050000001
tabular-adult,random,uniform,budget_5,0.0,0.0,0.03699480747600191,0.0,0.19830587000000002,5.0,0.35714285714285715
tabular-adult,random,uniform,budget_10,0.0,0.0,0.03699480747600191,0.0,0.16527152999999997,10.0,0.7142857142857143
tabular-adult,random,uniform,budget_20,0.0,0.0,0.03699480747600191,0.0,0.152887,14.0,1.0
tabular-adult,random,uniform,oracle_cheapest,0.0,0.0,0.03699480747600191,0.0,0.20801844,2.4840614299999997,0.17743295928571426
tabular-adult,random,uniform,oracle_full,0.0,0.0,0.03699480747600191,0.0,0.152887,14.0,1.0
tabular-adult,random,inverse_info,cafa_marginal,0.0,0.0,0.03699480747600191,0.0,0.20256389,18.88977663,0.2004953645220775
tabular-adult,random,inverse_info,cafa_iut,0.0,0.0,0.03699480747600191,1.0,0.152887,94.215528,1.0
tabular-adult,random,inverse_info,plugin,0.16,0.10095202349473717,0.24420444558894414,0.0,0.21098526,15.861792159999998,0.16835645351369252
